epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.118,3.25291,3.93396,4.04455,0.01093,1,0.14211,0.08114,5.4019,3.69128,3.91808,0.00040625,0.00040625,0.00040625
2,384.728,2.37783,3.21925,3.35815,0.01118,1,0.04494,0.02195,5.42095,3.77054,3.94169,0.000806623,0.000806623,0.000806623
3,580.048,1.99741,2.8318,2.79622,0.1554,0.73125,0.38435,0.14997,3.22633,2.81142,3.06669,0.0011905,0.0011905,0.0011905
4,831.893,1.7617,2.57969,2.46345,0.24265,0.98344,0.30962,0.24425,1.45601,4.7875,1.57933,0.00117575,0.00117575,0.00117575
5,1020.76,1.62636,2.30932,2.24885,0.23897,0.94375,0.30964,0.27772,1.69686,3.4278,1.81299,0.001151,0.001151,0.001151
6,1223.54,1.38598,2.07481,2.03318,0.24928,1,0.36899,0.35848,0.84479,2.04432,1.18724,0.00112625,0.00112625,0.00112625
7,1403.24,1.16418,1.90042,1.83855,0.24924,1,0.31615,0.28677,0.73906,1.56474,0.96414,0.0011015,0.0011015,0.0011015
8,1583.33,0.99582,1.77916,1.69161,0.24959,1,0.33535,0.31813,0.57959,1.60176,0.93079,0.00107675,0.00107675,0.00107675
9,1767.85,0.92083,1.7216,1.60923,0.24956,1,0.32162,0.31303,0.64358,1.45113,0.9645,0.001052,0.001052,0.001052
10,1954.44,0.81669,1.62985,1.50384,0.24954,1,0.31388,0.27939,0.45184,1.42359,0.8577,0.00102725,0.00102725,0.00102725
11,2138.87,0.78257,1.56439,1.44657,0.24964,1,0.3149,0.29505,0.38408,1.36018,0.8269,0.0010025,0.0010025,0.0010025
12,2320.71,0.68603,1.50865,1.35745,0.24971,1,0.31465,0.30767,0.47504,1.36555,0.84347,0.00097775,0.00097775,0.00097775
13,2531.07,0.6567,1.48814,1.31862,0.24952,1,0.33016,0.32314,0.42473,1.35269,0.8153,0.000953,0.000953,0.000953
14,2713.36,0.59616,1.45205,1.27306,0.24935,1,0.30704,0.2969,0.43385,1.34785,0.83599,0.00092825,0.00092825,0.00092825
15,2896.95,0.57579,1.43056,1.247,0.2496,1,0.32276,0.31562,0.40455,1.30285,0.83444,0.0009035,0.0009035,0.0009035
16,3078.31,0.55545,1.41064,1.2115,0.24962,1,0.2863,0.27933,0.36153,1.34513,0.79448,0.00087875,0.00087875,0.00087875
17,3263.6,0.5247,1.39737,1.18349,0.24941,1,0.28108,0.27139,0.34419,1.31931,0.76482,0.000854,0.000854,0.000854
18,3447,0.50567,1.38196,1.16741,0.24958,1,0.2913,0.28463,0.32321,1.35384,0.76691,0.00082925,0.00082925,0.00082925
19,3631.32,0.50248,1.38035,1.15741,0.24963,1,0.34175,0.32932,0.36588,1.31462,0.77629,0.0008045,0.0008045,0.0008045
20,3810.67,0.48815,1.37417,1.14512,0.24962,1,0.30313,0.29753,0.29537,1.29278,0.72413,0.00077975,0.00077975,0.00077975
21,4114.51,0.46169,1.3508,1.11598,0.24964,1,0.35168,0.33905,0.36664,1.28888,0.76204,0.000755,0.000755,0.000755
22,4291.87,0.45957,1.35436,1.11464,0.24965,1,0.29449,0.28675,0.32754,1.28321,0.76883,0.00073025,0.00073025,0.00073025
23,4475.89,0.43599,1.32719,1.08935,0.24952,1,0.33774,0.32901,0.30037,1.29246,0.72366,0.0007055,0.0007055,0.0007055
24,4653.82,0.42214,1.3212,1.08587,0.24962,1,0.36048,0.35282,0.34349,1.29918,0.7469,0.00068075,0.00068075,0.00068075
25,4861.48,0.41646,1.328,1.08199,0.24955,1,0.31804,0.31031,0.28425,1.23354,0.7365,0.000656,0.000656,0.000656
26,5047.6,0.40439,1.31434,1.07039,0.24988,1,0.404,0.39685,0.30431,1.27634,0.73315,0.00063125,0.00063125,0.00063125
27,5227.72,0.40324,1.31139,1.07436,0.25,1,0.32637,0.32033,0.28379,1.26126,0.72689,0.0006065,0.0006065,0.0006065
28,5404.47,0.40219,1.31546,1.05862,0.24959,1,0.36881,0.35601,0.29672,1.28946,0.72785,0.00058175,0.00058175,0.00058175
29,5582.32,0.40036,1.31277,1.05887,0.2496,1,0.36583,0.34988,0.33072,1.244,0.73779,0.000557,0.000557,0.000557
30,5760.04,0.37445,1.30504,1.0406,0.25,1,0.31689,0.30886,0.28228,1.26747,0.72122,0.00053225,0.00053225,0.00053225
31,5987.39,0.36368,1.28685,1.03975,0.25,1,0.42691,0.41882,0.28769,1.25677,0.71549,0.0005075,0.0005075,0.0005075
32,6214.11,0.36679,1.28698,1.03048,0.24993,1,0.48731,0.47853,0.28376,1.26899,0.70799,0.00048275,0.00048275,0.00048275
33,6442.64,0.35276,1.27497,1.03044,0.25,1,0.44013,0.43095,0.26566,1.24728,0.70695,0.000458,0.000458,0.000458
34,6669.69,0.35292,1.2661,1.03157,0.24962,1,0.492,0.4866,0.25914,1.26298,0.70187,0.00043325,0.00043325,0.00043325
35,6900.26,0.34146,1.25658,1.02775,0.24969,1,0.38607,0.37404,0.29649,1.23621,0.71746,0.0004085,0.0004085,0.0004085
36,7128.13,0.33489,1.24942,1.01758,0.24965,1,0.51935,0.51447,0.29353,1.25168,0.70214,0.00038375,0.00038375,0.00038375
37,7354.81,0.33085,1.23789,1.0138,0.24961,1,0.53751,0.53172,0.31775,1.24353,0.70239,0.000359,0.000359,0.000359
38,7577.88,0.32587,1.24502,1.00886,0.24961,1,0.4385,0.43121,0.32828,1.26764,0.71048,0.00033425,0.00033425,0.00033425
39,7804.6,0.32295,1.23203,1.01678,0.24968,1,0.525,0.51407,0.28248,1.25732,0.70785,0.0003095,0.0003095,0.0003095
40,8028.3,0.31721,1.21165,1.00895,0.24973,1,0.46341,0.45419,0.27523,1.23341,0.71781,0.00028475,0.00028475,0.00028475
41,8266.45,0.23222,1.21837,0.95031,0.24963,1,0.57254,0.56384,0.26051,1.26836,0.695,0.00026,0.00026,0.00026
42,8494.69,0.21034,1.1663,0.93255,0.24984,1,0.5227,0.51193,0.26076,1.20997,0.7011,0.00023525,0.00023525,0.00023525
43,8740.95,0.20869,1.13396,0.92333,0.43191,1,0.65168,0.63643,0.33192,1.23548,0.70443,0.0002105,0.0002105,0.0002105
44,9023.8,0.22143,1.02754,0.9074,0.47945,1,0.55974,0.54795,0.29122,1.0234,0.6899,0.00018575,0.00018575,0.00018575
45,9218.17,0.2026,0.96626,0.89844,0.49411,1,0.70576,0.68922,0.29189,0.97501,0.68061,0.000161,0.000161,0.000161
46,9424.81,0.19636,0.93077,0.90171,0.49506,1,0.8049,0.78365,0.26935,0.97828,0.67878,0.00013625,0.00013625,0.00013625
47,9629.98,0.18522,0.90104,0.90013,0.49438,1,0.81486,0.79152,0.27289,0.89978,0.67768,0.0001115,0.0001115,0.0001115
48,9841.96,0.17773,0.87984,0.90341,0.53494,1,0.70558,0.69395,0.26303,0.85599,0.68284,8.675e-05,8.675e-05,8.675e-05
49,10037.3,0.16962,0.86143,0.90115,0.64868,1,0.82917,0.80562,0.26162,0.86022,0.68369,6.2e-05,6.2e-05,6.2e-05
50,10232.3,0.17016,0.83407,0.89956,0.53623,1,0.82835,0.80569,0.25992,0.79671,0.6842,3.725e-05,3.725e-05,3.725e-05
