epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.9,0.41092,1.33551,1.07254,0.82922,0.95625,0.97896,0.95822,0.27403,0.62996,0.71598,0.00040625,0.00040625,0.00040625
2,357.583,0.34391,0.97225,1.00409,0.79033,0.91875,0.94217,0.91787,0.31001,0.61388,0.7097,0.000782182,0.000782182,0.000782182
3,536.274,0.37945,0.97226,1.02063,0.84938,0.99375,0.92769,0.90757,0.33293,0.58345,0.7051,0.00111686,0.00111686,0.00111686
4,746.929,0.37979,0.93495,1.01633,0.05408,0.9,0.13153,0.10106,0.98076,3.33857,1.32794,0.00106437,0.00106437,0.00106437
5,929.453,0.3651,0.88009,0.99852,0.77144,0.99375,0.91751,0.8963,0.34852,0.60338,0.7157,0.0010025,0.0010025,0.0010025
6,1108.19,0.35353,0.89181,0.99897,0.83257,1,0.88108,0.85637,0.30582,0.66844,0.70489,0.000940625,0.000940625,0.000940625
7,1291.07,0.32742,0.86066,0.98179,0.86917,1,0.995,0.96559,0.30843,0.50281,0.6834,0.00087875,0.00087875,0.00087875
8,1472.19,0.32043,0.83619,0.99064,0.68274,0.90908,0.85599,0.83081,0.26032,0.80098,0.67718,0.000816875,0.000816875,0.000816875
9,1651.3,0.33124,0.82618,0.99353,0.99299,1,0.995,0.96882,0.2799,0.45991,0.69663,0.000755,0.000755,0.000755
10,1831.15,0.32506,0.76811,0.97536,0.98101,0.9875,0.98964,0.96644,0.27733,0.45047,0.70153,0.000693125,0.000693125,0.000693125
11,2012.9,0.21513,0.45383,0.91233,0.99103,1,0.995,0.97544,0.25837,0.41986,0.68069,0.00063125,0.00063125,0.00063125
12,2189.57,0.20087,0.34786,0.90482,0.98091,0.99621,0.995,0.9599,0.27931,0.40687,0.68078,0.000569375,0.000569375,0.000569375
13,2367.99,0.20259,0.28238,0.90159,0.86035,0.95937,0.99283,0.96918,0.30002,0.55817,0.7185,0.0005075,0.0005075,0.0005075
14,2547.57,0.18812,0.26782,0.8895,0.99004,1,0.995,0.97732,0.25949,0.31289,0.68105,0.000445625,0.000445625,0.000445625
15,2774.67,0.17631,0.22764,0.88734,0.99708,1,0.995,0.97422,0.25109,0.28702,0.67369,0.00038375,0.00038375,0.00038375
16,2952.91,0.17091,0.20303,0.8766,0.99829,1,0.995,0.97542,0.24534,0.3003,0.67438,0.000321875,0.000321875,0.000321875
17,3129.72,0.16455,0.18869,0.87965,0.99811,1,0.995,0.97271,0.24028,0.29181,0.67204,0.00026,0.00026,0.00026
18,3307.23,0.15993,0.17448,0.88697,0.99578,1,0.995,0.97609,0.24616,0.29134,0.67354,0.000198125,0.000198125,0.000198125
19,3482.76,0.15118,0.16776,0.87885,0.9979,1,0.995,0.97407,0.23344,0.26578,0.6745,0.00013625,0.00013625,0.00013625
20,3661.57,0.14637,0.15909,0.86956,0.99791,1,0.995,0.97523,0.22555,0.26245,0.66544,7.4375e-05,7.4375e-05,7.4375e-05
